192.168.20.23, 2013-01-28 14:09:35, GET, /users/list, HTTP/1.1, 303, 0.150872
192.168.20.23, 2013-01-28 14:09:35, GET, /account/login, HTTP/1.1, 200, 0.023642
192.168.20.23, 2013-01-28 14:09:42, POST, /account/login, HTTP/1.1, 303, 0.091484
192.168.20.23, 2013-01-28 14:09:42, GET, /, HTTP/1.1, 200, 0.018157
192.168.20.23, 2013-01-28 14:09:49, GET, /account/manager/, HTTP/1.1, 303, 0.016187
192.168.20.23, 2013-01-28 14:09:49, GET, /user/not_authorized, HTTP/1.1, 404, 0.013378
192.168.20.23, 2013-01-28 14:10:07, GET, /users/list, HTTP/1.1, 200, 0.076050
192.168.20.23, 2013-01-28 14:10:10, GET, /users/add, HTTP/1.1, 200, 0.019664
192.168.20.23, 2013-01-28 14:15:21, GET, /account/manager/, HTTP/1.1, 303, 0.015137
192.168.20.23, 2013-01-28 14:15:21, GET, /user/not_authorized, HTTP/1.1, 404, 0.012725
192.168.20.23, 2013-01-28 14:18:49, GET, /users/list, HTTP/1.1, 303, 0.150639
192.168.20.23, 2013-01-28 14:18:49, GET, /account/login, HTTP/1.1, 200, 0.019201
192.168.20.23, 2013-01-28 14:18:50, GET, /dashboard/static/skin1/stylesheets/theme.css, HTTP/1.1, 304, 0.000512
192.168.20.23, 2013-01-28 14:18:54, POST, /account/login, HTTP/1.1, 303, 0.076066
192.168.20.23, 2013-01-28 14:18:54, GET, /account/login, HTTP/1.1, 200, 0.018107
192.168.20.23, 2013-01-28 14:19:01, POST, /account/login, HTTP/1.1, 303, 0.114227
192.168.20.23, 2013-01-28 14:19:01, GET, /, HTTP/1.1, 200, 0.018002
192.168.20.23, 2013-01-28 14:19:09, GET, /account/manager/, HTTP/1.1, 303, 0.017192
192.168.20.23, 2013-01-28 14:19:09, GET, /user/not_authorized, HTTP/1.1, 404, 0.013343
192.168.20.23, 2013-01-28 14:21:36, GET, /account/manager/register, HTTP/1.1, 303, 0.015597
192.168.20.23, 2013-01-28 14:21:36, GET, /user/not_authorized, HTTP/1.1, 404, 0.013270
192.168.20.23, 2013-01-28 14:21:44, GET, /users/list, HTTP/1.1, 200, 0.167968
192.168.20.23, 2013-01-28 14:21:46, GET, /users/add, HTTP/1.1, 200, 0.019150
192.168.20.23, 2013-01-28 14:21:53, GET, /account/logout, HTTP/1.1, 303, 0.049467
192.168.20.23, 2013-01-28 14:21:53, GET, /, HTTP/1.1, 303, 0.013279
192.168.20.23, 2013-01-28 14:21:53, GET, /account/login, HTTP/1.1, 200, 0.018774
192.168.20.23, 2013-01-28 14:24:36, POST, /account/login, HTTP/1.1, 303, 0.142105
192.168.20.23, 2013-01-28 14:24:37, GET, /, HTTP/1.1, 200, 0.017723
192.168.20.23, 2013-01-28 14:24:47, GET, /account/manager/, HTTP/1.1, 303, 0.018103
192.168.20.23, 2013-01-28 14:24:47, GET, /user/not_authorized, HTTP/1.1, 404, 0.012745
